"Date","Price","Open","High","Low","Change %"
"Apr 13, 2018","50.690","50.642","50.960","50.609","0.12%"
"Apr 12, 2018","50.629","50.610","50.753","50.525","0.04%"
"Apr 11, 2018","50.609","50.404","50.733","50.300","0.40%"
"Apr 10, 2018","50.407","50.013","50.474","49.974","0.81%"
"Apr 09, 2018","50.002","49.785","50.093","49.745","0.30%"
"Apr 06, 2018","49.850","49.858","50.021","49.690","-0.04%"
"Apr 05, 2018","49.868","50.199","50.264","49.806","-0.65%"
"Apr 04, 2018","50.196","49.943","50.227","49.858","0.49%"
"Apr 03, 2018","49.950","49.913","50.129","49.828","0.06%"
"Apr 02, 2018","49.919","50.068","50.139","49.810","-0.17%"
"Mar 30, 2018","50.002","49.989","50.184","49.950","0.02%"
"Mar 29, 2018","49.992","49.918","50.112","49.795","0.14%"
"Mar 28, 2018","49.922","49.891","50.127","49.797","0.10%"
"Mar 27, 2018","49.871","50.227","50.298","49.839","-0.71%"
"Mar 26, 2018","50.230","50.061","50.271","49.996","0.41%"
"Mar 23, 2018","50.026","50.086","50.342","50.007","-0.11%"
"Mar 22, 2018","50.082","50.625","50.742","50.049","-1.03%"
"Mar 21, 2018","50.605","50.094","50.733","50.020","1.01%"
"Mar 20, 2018","50.101","50.337","50.356","50.054","-0.47%"
"Mar 19, 2018","50.337","50.133","50.389","49.982","0.39%"
"Mar 16, 2018","50.143","50.695","50.715","50.104","-1.06%"
"Mar 15, 2018","50.682","51.078","51.206","50.620","-0.78%"
"Mar 14, 2018","51.078","50.977","51.315","50.905","0.21%"
"Mar 13, 2018","50.973","51.172","51.250","50.874","-0.37%"
"Mar 12, 2018","51.160","51.127","51.257","51.036","0.06%"
"Mar 09, 2018","51.130","50.723","51.156","50.626","0.79%"
"Mar 08, 2018","50.727","50.769","50.925","50.636","-0.08%"
"Mar 07, 2018","50.769","50.812","50.830","50.431","-0.07%"
"Mar 06, 2018","50.807","50.492","50.925","50.428","0.62%"
"Mar 05, 2018","50.495","50.650","50.733","50.294","-0.28%"
"Mar 02, 2018","50.637","50.606","50.717","50.484","0.09%"
"Mar 01, 2018","50.593","50.623","50.690","50.304","-0.05%"
"Feb 28, 2018","50.616","50.559","51.003","50.507","0.10%"
"Feb 27, 2018","50.566","50.857","50.978","50.460","-0.62%"
"Feb 26, 2018","50.880","50.697","51.109","50.658","0.23%"
"Feb 23, 2018","50.762","50.993","51.006","50.521","-0.42%"
"Feb 22, 2018","50.976","50.570","51.092","50.473","0.79%"
"Feb 21, 2018","50.574","51.132","51.242","50.554","-1.09%"
"Feb 20, 2018","51.132","50.844","51.304","50.690","0.58%"
"Feb 19, 2018","50.837","50.831","50.992","50.742","0.05%"
"Feb 16, 2018","50.810","50.781","51.230","50.682","0.07%"
"Feb 15, 2018","50.772","50.800","50.947","50.458","-0.06%"
"Feb 14, 2018","50.802","50.516","50.873","49.836","0.58%"
"Feb 13, 2018","50.509","50.510","50.626","50.298","-0.06%"
"Feb 12, 2018","50.537","50.244","50.550","50.167","0.46%"
"Feb 09, 2018","50.306","50.038","50.422","49.883","0.56%"
