Date,Price,Open,High,Low,Volume,Chg%
"Mar 1, 2019",0.7083,0.7096,0.7124,0.7069,112.23K,-0.17%
"Feb 28, 2019",0.7095,0.7139,0.7167,0.7089,115.74K,-0.62%
"Feb 27, 2019",0.7139,0.7186,0.7199,0.7126,104.49K,-0.68%
"Feb 26, 2019",0.7188,0.7168,0.7197,0.7141,95.00K,0.29%
"Feb 25, 2019",0.7167,0.7127,0.7187,0.7119,112.55K,0.56%
"Feb 22, 2019",0.7127,0.709,0.715,0.7081,118.78K,0.45%
"Feb 21, 2019",0.7095,0.7166,0.7209,0.707,123.98K,-0.96%
"Feb 20, 2019",0.7164,0.7166,0.7183,0.7139,113.28K,-0.03%
"Feb 19, 2019",0.7166,0.7133,0.7176,0.7103,103.77K,0.49%
"Feb 18, 2019",0.7131,0.7131,0.7161,0.7123,94.08K,-0.13%
"Feb 15, 2019",0.714,0.7105,0.7149,0.7078,103.08K,0.48%
"Feb 14, 2019",0.7106,0.7088,0.7133,0.7071,111.73K,0.24%
"Feb 13, 2019",0.7089,0.7093,0.7137,0.7085,104.68K,-0.08%
"Feb 12, 2019",0.7095,0.7062,0.7104,0.7053,104.75K,0.47%
"Feb 11, 2019",0.7062,0.7087,0.711,0.7056,95.01K,-0.39%
"Feb 8, 2019",0.709,0.7101,0.7107,0.706,104.23K,-0.15%
"Feb 7, 2019",0.7101,0.7107,0.7119,0.7088,95.65K,-0.04%
"Feb 6, 2019",0.7104,0.7234,0.7246,0.7102,109.51K,-1.81%
"Feb 5, 2019",0.7235,0.7226,0.7265,0.7192,97.02K,0.12%
"Feb 4, 2019",0.7226,0.7244,0.7256,0.721,74.77K,-0.34%
"Feb 1, 2019",0.7251,0.7278,0.7287,0.7236,106.97K,-0.30%
"Jan 31, 2019",0.7273,0.7245,0.7296,0.724,110.30K,0.36%
"Jan 30, 2019",0.7247,0.7155,0.7274,0.7148,114.48K,1.27%
"Jan 29, 2019",0.7156,0.7166,0.7178,0.7138,104.52K,-0.14%
"Jan 28, 2019",0.7166,0.7185,0.7204,0.7159,107.89K,-0.24%
"Jan 25, 2019",0.7183,0.7096,0.7186,0.7074,110.07K,1.24%
"Jan 24, 2019",0.7095,0.7143,0.7167,0.7079,108.67K,-0.66%
"Jan 23, 2019",0.7142,0.7124,0.7145,0.7115,103.45K,0.27%
"Jan 22, 2019",0.7123,0.7158,0.7161,0.7114,100.02K,-0.49%
"Jan 21, 2019",0.7158,0.7164,0.7186,0.7137,106.92K,-0.14%
"Jan 18, 2019",0.7168,0.7193,0.7214,0.716,105.43K,-0.36%
"Jan 17, 2019",0.7194,0.7168,0.7224,0.7147,108.64K,0.36%
"Jan 16, 2019",0.7168,0.7201,0.7214,0.7161,0,-0.46%
"Jan 15, 2019",0.7201,0.7196,0.7226,0.7178,0,0.07%
"Jan 14, 2019",0.7196,0.7202,0.7218,0.7174,4.84K,-0.28%
"Jan 11, 2019",0.7216,0.7185,0.7236,0.7179,0,0.42%
"Jan 10, 2019",0.7186,0.717,0.7198,0.7145,0,0.21%
"Jan 09, 2019",0.7171,0.7139,0.7194,0.7133,0,0.42%
"Jan 8, 2019",0.7141,0.7149,0.7151,0.7117,10.32K,-0.10%
"Jan 7, 2019",0.7148,0.7108,0.7151,0.7108,7.05K,0.49%
"Jan 4, 2019",0.7113,0.7006,0.7125,0.6992,0.01K,1.53%
"Jan 3, 2019",0.7006,0.6985,0.702,0.6744,9.62K,0.30%
"Jan 2, 2019",0.6985,0.7053,0.7054,0.698,10.76K,-0.96%
"Jan 1, 2019",0.7053,0.7048,0.7067,0.7045,7.75K,0.01%
"Dec 31, 2018",0.7052,0.7045,0.7075,0.7033,0,0.11%
"Dec 28, 2018",0.7044,0.7036,0.7071,0.7026,0,0.11%
