"Date","Price","Open","High","Low","Change %"
"Apr 13, 2018","10.3992","10.3831","10.4039","10.3669","0.21%"
"Apr 12, 2018","10.3775","10.4078","10.4337","10.3719","-0.31%"
"Apr 11, 2018","10.4100","10.3424","10.4100","10.3338","0.71%"
"Apr 10, 2018","10.3370","10.3039","10.3511","10.3021","0.37%"
"Apr 09, 2018","10.2989","10.3013","10.3193","10.2882","0.01%"
"Apr 06, 2018","10.2979","10.2987","10.3162","10.2963","0.06%"
"Apr 05, 2018","10.2915","10.3153","10.3311","10.2915","-0.24%"
"Apr 04, 2018","10.3161","10.3301","10.3421","10.3133","-0.17%"
"Apr 03, 2018","10.3340","10.3644","10.3704","10.3340","-0.35%"
"Apr 02, 2018","10.3703","10.3917","10.3925","10.3634","-0.06%"
"Mar 30, 2018","10.3764","10.3583","10.3973","10.3519","0.23%"
"Mar 29, 2018","10.3525","10.3452","10.3701","10.3339","0.06%"
"Mar 28, 2018","10.3463","10.3537","10.3787","10.3395","0.10%"
"Mar 27, 2018","10.3364","10.3669","10.3833","10.3271","0.03%"
"Mar 26, 2018","10.3333","10.3051","10.3531","10.2805","0.42%"
"Mar 23, 2018","10.2897","10.2843","10.3099","10.2792","0.12%"
"Mar 22, 2018","10.2770","10.3283","10.3303","10.2753","-0.30%"
"Mar 21, 2018","10.3081","10.2999","10.3136","10.2965","0.13%"
"Mar 20, 2018","10.2951","10.2951","10.3160","10.2884","-0.04%"
"Mar 19, 2018","10.2997","10.2591","10.2997","10.2590","0.40%"
"Mar 16, 2018","10.2589","10.2676","10.2783","10.2510","-0.20%"
"Mar 15, 2018","10.2798","10.2795","10.2964","10.2512","0.17%"
"Mar 14, 2018","10.2628","10.2639","10.3044","10.2608","0.04%"
"Mar 13, 2018","10.2592","10.2672","10.2906","10.2485","-0.07%"
"Mar 12, 2018","10.2662","10.2947","10.2979","10.2638","-0.18%"
"Mar 09, 2018","10.2842","10.2544","10.3026","10.2529","0.18%"
"Mar 08, 2018","10.2653","10.2515","10.2827","10.2476","0.08%"
"Mar 07, 2018","10.2569","10.2904","10.2904","10.2538","-0.29%"
"Mar 06, 2018","10.2865","10.2612","10.2904","10.2360","0.45%"
"Mar 05, 2018","10.2409","10.2990","10.3062","10.2409","-0.36%"
"Mar 02, 2018","10.2783","10.2857","10.2953","10.2562","0.19%"
"Mar 01, 2018","10.2592","10.3072","10.3072","10.2512","-0.40%"
"Feb 28, 2018","10.3001","10.2546","10.3288","10.2515","0.22%"
"Feb 27, 2018","10.2771","10.2742","10.3017","10.2661","0.22%"
"Feb 26, 2018","10.2548","10.2411","10.2836","10.2386","0.43%"
"Feb 23, 2018","10.2111","10.2391","10.2602","10.2111","-0.21%"
"Feb 22, 2018","10.2322","10.2101","10.2544","10.2052","0.23%"
"Feb 21, 2018","10.2085","10.2243","10.2305","10.1939","-0.09%"
"Feb 20, 2018","10.2172","10.1621","10.2175","10.1479","0.95%"
"Feb 19, 2018","10.1211","10.1211","10.1211","10.1211","0.05%"
"Feb 16, 2018","10.1156","10.0620","10.1180","10.0526","0.49%"
"Feb 15, 2018","10.0660","10.0754","10.0785","10.0619","-0.31%"
"Feb 14, 2018","10.0974","10.1354","10.1582","10.0906","-0.37%"
"Feb 13, 2018","10.1349","10.1540","10.1724","10.1266","-0.24%"
"Feb 12, 2018","10.1588","10.2256","10.2409","10.1526","-0.63%"
"Feb 09, 2018","10.2234","10.1496","10.2305","10.1496","0.60%"
"Feb 08, 2018","10.1628","10.2233","10.2401","10.1327","-0.88%"
"Feb 07, 2018","10.2529","10.2278","10.2761","10.2262","0.30%"
"Feb 06, 2018","10.2224","10.1775","10.2473","10.1775","0.25%"
"Feb 05, 2018","10.1972","10.1712","10.2098","10.1712","0.20%"
"Feb 02, 2018","10.1770","10.1915","10.2200","10.1615","0.20%"
"Feb 01, 2018","10.1564","10.0914","10.1819","10.0913","0.51%"
"Jan 31, 2018","10.1052","10.0707","10.1409","10.0645","0.34%"
"Jan 30, 2018","10.0712","10.0381","10.0808","10.0379","0.35%"
"Jan 29, 2018","10.0356","10.0452","10.0651","10.0325","-0.26%"
"Jan 26, 2018","10.0615","10.0336","10.0662","10.0252","0.18%"
"Jan 25, 2018","10.0438","10.0165","10.0725","10.0165","0.50%"
"Jan 24, 2018","9.9937","9.9719","10.0155","9.9575","0.39%"
"Jan 23, 2018","9.9551","9.9933","10.0009","9.9465","-0.20%"
"Jan 22, 2018","9.9746","9.9569","9.9898","9.9523","0.07%"
"Jan 19, 2018","9.9672","9.9857","9.9944","9.9500","0.19%"
"Jan 18, 2018","9.9482","9.9326","9.9502","9.9149","0.20%"
"Jan 17, 2018","9.9288","9.9531","9.9746","9.9104","-0.06%"
"Jan 16, 2018","9.9348","9.8778","9.9633","9.8625","0.69%"
"Jan 15, 2018","9.8670","9.8523","9.8981","9.8463","0.22%"
"Jan 12, 2018","9.8453","9.8064","9.8611","9.7916","0.41%"
"Jan 11, 2018","9.8047","9.7617","9.8110","9.7617","0.28%"
"Jan 10, 2018","9.7770","9.7415","9.7923","9.7415","0.27%"
"Jan 09, 2018","9.7509","9.7599","9.7769","9.7448","-0.15%"
"Jan 08, 2018","9.7658","9.7836","9.7836","9.7507","0.04%"
"Jan 05, 2018","9.7615","9.7805","9.7864","9.7606","-0.02%"
"Jan 04, 2018","9.7638","9.7697","9.7769","9.7380","-0.02%"
"Jan 03, 2018","9.7655","9.7641","9.7792","9.7505","-0.08%"
"Jan 02, 2018","9.7731","9.8013","9.8149","9.7696","-0.14%"
"Jan 01, 2018","9.7869","9.8138","9.8153","9.7800","-0.25%"
"Dec 29, 2017","9.8115","9.8062","9.8369","9.7978","0.03%"
"Dec 28, 2017","9.8081","9.7813","9.8264","9.7733","0.30%"
"Dec 27, 2017","9.7792","9.7811","9.7925","9.7621","-0.07%"
"Dec 26, 2017","9.7858","9.7873","9.7987","9.7627","-0.04%"
"Dec 25, 2017","9.7894","9.7415","9.7918","9.7415","0.58%"
"Dec 22, 2017","9.7334","9.7330","9.7572","9.7245","0.11%"
"Dec 21, 2017","9.7225","9.7721","9.7825","9.7210","-0.24%"
"Dec 20, 2017","9.7461","9.7029","9.7501","9.6970","0.48%"
"Dec 19, 2017","9.6992","9.7069","9.7104","9.6808","-0.06%"
"Dec 18, 2017","9.7047","9.6945","9.7932","9.6889","0.10%"
"Dec 15, 2017","9.6953","9.7317","9.7379","9.6875","-0.40%"
"Dec 14, 2017","9.7344","9.7569","9.7611","9.7211","-0.07%"
"Dec 13, 2017","9.7410","9.7297","9.7548","9.7225","0.14%"
"Dec 12, 2017","9.7274","9.7299","9.7440","9.7179","0.04%"
"Dec 11, 2017","9.7233","9.7411","9.7482","9.7192","-0.16%"
"Dec 08, 2017","9.7384","9.7540","9.7606","9.7316","-0.17%"
"Dec 07, 2017","9.7548","9.7477","9.7684","9.7476","-0.01%"
"Dec 06, 2017","9.7553","9.7239","9.7599","9.7238","0.33%"
"Dec 05, 2017","9.7234","9.7295","9.7487","9.7167","-0.02%"
"Dec 04, 2017","9.7255","9.7583","9.7612","9.7140","-0.25%"
"Dec 01, 2017","9.7501","9.7589","9.7706","9.7456","-0.02%"
"Nov 30, 2017","9.7523","9.7407","9.7773","9.7348","0.15%"
"Nov 29, 2017","9.7377","9.7449","9.7761","9.7163","-0.10%"
"Nov 28, 2017","9.7478","9.7689","9.7874","9.7465","-0.27%"
"Nov 27, 2017","9.7738","9.7928","9.8232","9.7594","-0.23%"
"Nov 24, 2017","9.7967","9.8188","9.8308","9.7902","-0.11%"
"Nov 23, 2017","9.8079","9.8201","9.8560","9.8064","-0.07%"
"Nov 22, 2017","9.8151","9.7841","9.8235","9.7724","0.29%"
"Nov 21, 2017","9.7864","9.8096","9.8186","9.7835","-0.26%"
"Nov 20, 2017","9.8117","9.8150","9.8293","9.7991","0.01%"
"Nov 17, 2017","9.8110","9.8455","9.8620","9.7551","-0.37%"
"Nov 16, 2017","9.8473","9.8535","9.8620","9.8248","-0.07%"
"Nov 15, 2017","9.8543","9.8598","9.8753","9.8417","-0.02%"
"Nov 14, 2017","9.8565","9.8536","9.8709","9.8308","0.02%"
"Nov 13, 2017","9.8547","9.8015","9.8700","9.7993","0.40%"
"Nov 10, 2017","9.8156","9.7843","9.8186","9.7796","0.31%"
"Nov 09, 2017","9.7850","9.7937","9.8035","9.7773","-0.10%"
"Nov 08, 2017","9.7947","9.7991","9.8181","9.7920","-0.04%"
"Nov 07, 2017","9.7982","9.7401","9.8097","9.7399","0.58%"
"Nov 06, 2017","9.7418","9.7202","9.7625","9.7202","0.18%"
"Nov 03, 2017","9.7244","9.7730","9.7832","9.7244","-0.48%"
