"Date","Price","Open","High","Low","Change %"
"Apr 13, 2018","92.930","92.874","93.285","92.746","0.04%"
"Apr 12, 2018","92.891","92.522","93.028","92.454","0.41%"
"Apr 11, 2018","92.516","92.063","92.803","92.017","0.49%"
"Apr 10, 2018","92.067","91.802","92.234","91.671","0.30%"
"Apr 09, 2018","91.788","91.531","92.015","91.406","0.31%"
"Apr 06, 2018","91.502","90.868","91.617","90.844","0.70%"
"Apr 05, 2018","90.868","91.581","91.718","90.686","-0.79%"
"Apr 04, 2018","91.593","91.373","91.736","91.263","0.23%"
"Apr 03, 2018","91.380","91.478","91.608","91.186","-0.11%"
"Apr 02, 2018","91.478","91.379","91.686","91.296","0.22%"
"Mar 30, 2018","91.275","91.268","91.568","91.223","0.00%"
"Mar 29, 2018","91.275","91.722","91.858","91.243","-0.49%"
"Mar 28, 2018","91.729","91.940","92.429","91.677","-0.23%"
"Mar 27, 2018","91.942","92.252","92.317","91.407","-0.32%"
"Mar 26, 2018","92.237","91.898","92.368","91.841","0.42%"
"Mar 23, 2018","91.854","91.776","92.107","91.556","0.09%"
"Mar 22, 2018","91.772","92.164","92.566","91.642","-0.43%"
"Mar 21, 2018","92.171","91.274","92.252","91.268","0.98%"
"Mar 20, 2018","91.281","91.465","91.698","91.156","-0.20%"
"Mar 19, 2018","91.465","90.537","91.847","90.460","0.96%"
"Mar 16, 2018","90.596","90.570","90.801","90.182","0.02%"
"Mar 15, 2018","90.580","90.527","90.891","90.313","0.06%"
"Mar 14, 2018","90.523","90.551","90.996","90.310","-0.03%"
"Mar 13, 2018","90.547","90.371","90.775","90.078","0.20%"
"Mar 12, 2018","90.365","90.215","90.464","90.012","0.19%"
"Mar 09, 2018","90.192","89.917","90.500","89.767","0.30%"
"Mar 08, 2018","89.923","90.183","90.524","89.797","-0.30%"
"Mar 07, 2018","90.190","90.141","90.392","89.892","0.06%"
"Mar 06, 2018","90.137","90.063","90.457","89.793","0.09%"
"Mar 05, 2018","90.053","89.873","90.305","89.532","0.02%"
"Mar 02, 2018","90.037","89.868","90.141","89.736","0.20%"
"Mar 01, 2018","89.861","89.742","89.926","89.395","0.14%"
"Feb 28, 2018","89.733","90.306","90.834","89.707","-0.62%"
"Feb 27, 2018","90.297","90.464","90.852","89.904","-0.19%"
"Feb 26, 2018","90.471","90.426","91.115","90.240","0.10%"
"Feb 23, 2018","90.384","90.689","90.761","89.996","-0.36%"
"Feb 22, 2018","90.715","90.205","90.904","90.063","0.58%"
