"Date","Price","Open","High","Low","Change %"
"Apr 13, 2018","8.3128","8.3165","8.3194","8.3038","-0.05%"
"Apr 12, 2018","8.3172","8.3140","8.3377","8.3119","0.04%"
"Apr 11, 2018","8.3135","8.2737","8.3207","8.2733","0.47%"
"Apr 10, 2018","8.2744","8.2759","8.2853","8.2674","-0.01%"
"Apr 09, 2018","8.2753","8.2723","8.2885","8.2619","0.03%"
"Apr 06, 2018","8.2729","8.2674","8.2873","8.2669","0.07%"
"Apr 05, 2018","8.2675","8.2875","8.2988","8.2669","-0.24%"
"Apr 04, 2018","8.2870","8.2810","8.3044","8.2692","0.06%"
"Apr 03, 2018","8.2818","8.2985","8.2989","8.2796","-0.20%"
"Apr 02, 2018","8.2982","8.2968","8.2986","8.2932","0.02%"
"Mar 30, 2018","8.2962","8.2965","8.2977","8.2956","-0.00%"
"Mar 29, 2018","8.2965","8.3027","8.3044","8.2960","-0.08%"
"Mar 28, 2018","8.3034","8.2772","8.3216","8.2704","0.32%"
"Mar 27, 2018","8.2767","8.2623","8.2828","8.2484","0.17%"
"Mar 26, 2018","8.2623","8.2821","8.2827","8.2584","-0.25%"
"Mar 23, 2018","8.2833","8.2964","8.3084","8.2790","-0.15%"
"Mar 22, 2018","8.2957","8.3070","8.3082","8.2868","-0.14%"
"Mar 21, 2018","8.3077","8.3127","8.3168","8.3074","-0.06%"
"Mar 20, 2018","8.3128","8.3164","8.3184","8.3063","-0.04%"
"Mar 19, 2018","8.3164","8.2868","8.3165","8.2850","0.37%"
"Mar 16, 2018","8.2860","8.2878","8.2881","8.2684","-0.02%"
"Mar 15, 2018","8.2878","8.2692","8.2885","8.2647","0.22%"
"Mar 14, 2018","8.2692","8.2721","8.2972","8.2670","-0.03%"
"Mar 13, 2018","8.2717","8.2882","8.2920","8.2701","-0.20%"
"Mar 12, 2018","8.2885","8.3095","8.3102","8.2855","-0.26%"
"Mar 09, 2018","8.3102","8.3035","8.3180","8.2960","0.08%"
"Mar 08, 2018","8.3033","8.2794","8.3126","8.2793","0.28%"
"Mar 07, 2018","8.2803","8.2860","8.2983","8.2769","-0.06%"
"Mar 06, 2018","8.2855","8.3023","8.3134","8.2852","-0.20%"
"Mar 05, 2018","8.3022","8.3285","8.3288","8.2891","-0.32%"
"Mar 02, 2018","8.3290","8.3329","8.3364","8.3264","-0.05%"
"Mar 01, 2018","8.3330","8.3324","8.3364","8.3187","0.01%"
"Feb 28, 2018","8.3321","8.2937","8.3439","8.2918","0.46%"
"Feb 27, 2018","8.2939","8.2788","8.3015","8.2772","0.18%"
"Feb 26, 2018","8.2790","8.2713","8.2880","8.2607","0.10%"
"Feb 23, 2018","8.2711","8.3048","8.3070","8.2692","-0.40%"
"Feb 22, 2018","8.3042","8.2815","8.3193","8.2803","0.28%"
"Feb 21, 2018","8.2814","8.2891","8.3005","8.2694","-0.10%"
"Feb 20, 2018","8.2895","8.2140","8.2915","8.2132","0.92%"
"Feb 19, 2018","8.2142","8.2143","8.2149","8.2129","0.06%"
"Feb 16, 2018","8.2093","8.1703","8.2129","8.1591","0.47%"
"Feb 15, 2018","8.1707","8.1948","8.1959","8.1651","-0.29%"
"Feb 14, 2018","8.1944","8.2147","8.2170","8.1874","-0.25%"
"Feb 13, 2018","8.2147","8.2202","8.2203","8.2145","-0.07%"
"Feb 12, 2018","8.2207","8.2301","8.2309","8.2144","-0.16%"
"Feb 09, 2018","8.2341","8.2201","8.2394","8.2200","0.16%"
"Feb 08, 2018","8.2209","8.2217","8.2368","8.2049","-0.01%"
"Feb 07, 2018","8.2218","8.2148","8.2250","8.1908","0.08%"
"Feb 06, 2018","8.2149","8.2014","8.2368","8.1975","0.17%"
"Feb 05, 2018","8.2013","8.1998","8.2126","8.1832","0.03%"
"Feb 02, 2018","8.1992","8.1819","8.2096","8.1512","0.21%"
"Feb 01, 2018","8.1820","8.1235","8.1915","8.1233","0.72%"
"Jan 31, 2018","8.1237","8.1436","8.1515","8.1234","-0.25%"
"Jan 30, 2018","8.1437","8.1351","8.1620","8.1332","0.10%"
