Date,Price,Open,High,Low,Volume,Chg%
"Mar 5, 2019",7.8498,7.8491,7.8499,7.849,2.90K,0.01%
"Mar 4, 2019",7.8491,7.8487,7.8498,7.8486,3.79K,0.01%
"Mar 1, 2019",7.8487,7.8498,7.8499,7.8476,5.54K,-0.02%
"Feb 28, 2019",7.8499,7.8494,7.8499,7.8488,3.39K,0.00%
"Feb 27, 2019",7.8496,7.8491,7.8498,7.8488,3.37K,0.01%
"Feb 26, 2019",7.8491,7.8487,7.8498,7.8483,3.26K,0.01%
"Feb 25, 2019",7.8487,7.8483,7.8494,7.8478,3.85K,0.01%
"Feb 22, 2019",7.8482,7.8472,7.8491,7.8468,4.38K,0.01%
"Feb 21, 2019",7.8472,7.8491,7.8492,7.846,5.57K,-0.02%
"Feb 20, 2019",7.8491,7.8487,7.8495,7.8483,3.64K,0.01%
"Feb 19, 2019",7.8487,7.8479,7.8494,7.8475,4.20K,0.01%
"Feb 18, 2019",7.8478,7.8481,7.8485,7.8472,4.38K,0.00%
"Feb 15, 2019",7.8479,7.8472,7.8486,7.8471,4.56K,0.01%
"Feb 14, 2019",7.8472,7.8484,7.8487,7.8468,5.34K,-0.02%
"Feb 13, 2019",7.8484,7.8484,7.8491,7.8476,6.03K,0.00%
"Feb 12, 2019",7.8486,7.8478,7.8489,7.8465,6.74K,0.01%
"Feb 11, 2019",7.8478,7.8471,7.8488,7.8463,5.61K,0.01%
"Feb 8, 2019",7.8473,7.8476,7.8479,7.845,6.60K,0.00%
"Feb 7, 2019",7.8476,7.8463,7.8479,7.845,5.36K,0.02%
"Feb 6, 2019",7.8464,7.8454,7.8468,7.8449,6.20K,0.01%
"Feb 5, 2019",7.8454,7.8467,7.8467,7.8445,6.09K,-0.02%
"Feb 4, 2019",7.8466,7.8469,7.8472,7.8441,7.02K,0.00%
"Feb 1, 2019",7.8468,7.8467,7.8476,7.8434,7.61K,0.00%
"Jan 31, 2019",7.8468,7.8438,7.8472,7.8404,8.01K,0.05%
"Jan 30, 2019",7.8429,7.8463,7.8466,7.8375,10.00K,-0.04%
"Jan 29, 2019",7.8461,7.8457,7.8468,7.8454,5.93K,0.00%
"Jan 28, 2019",7.846,7.8453,7.8467,7.845,6.01K,0.00%
"Jan 25, 2019",7.8457,7.8457,7.8469,7.8448,6.50K,0.00%
"Jan 24, 2019",7.8458,7.8453,7.8472,7.8444,7.03K,0.01%
"Jan 23, 2019",7.8453,7.8461,7.8472,7.8449,7.16K,0.00%
"Jan 22, 2019",7.8453,7.8454,7.8469,7.845,6.64K,0.00%
"Jan 21, 2019",7.8453,7.8437,7.846,7.8427,6.15K,0.02%
"Jan 18, 2019",7.8434,7.8429,7.845,7.8427,7.22K,0.01%
"Jan 17, 2019",7.843,7.8457,7.8457,7.8422,7.05K,0.00%
"Jan 16, 2019",7.843,7.8431,7.8457,7.8429,0,0.00%
"Jan 15, 2019",7.8433,7.8425,7.8444,7.8411,0,0.01%
"Jan 14, 2019",7.8422,7.8393,7.844,7.8393,0,0.04%
