Date,Price,Open,High,Low,Vol.,Change %
Apr 13 2018,7264.56,7258.34,7274.99,7249.07,,
Apr 12 2018,7258.34,7257.14,7266.64,7240.76,,
Apr 11 2018,7257.14,7266.75,7270.28,7243.32,,
Apr 10 2018,7266.75,7194.75,7266.75,7194.75,,
Apr 09 2018,7194.75,7183.64,7209.68,7145.57,,
Apr 06 2018,7183.64,7199.5,7214.02,7163.11,,
Apr 05 2018,7199.5,7034.01,7199.5,7034.01,,
Apr 04 2018,7034.01,7030.46,7046.26,6971.75,,
Apr 03 2018,7030.46,7056.61,7064.98,6996.76,,
Mar 29 2018,7056.61,7044.74,7109.93,7042.73,,
Mar 28 2018,7044.74,7000.14,7044.74,6923.33,,
Mar 27 2018,7000.14,6888.69,7042.37,6888.69,,
Mar 26 2018,6888.69,6921.94,6958.47,6866.94,,
Mar 23 2018,6921.94,6952.59,6952.82,6876.96,,
Mar 22 2018,6952.59,7038.97,7038.97,6914.45,,
Mar 21 2018,7038.97,7061.27,7065.66,7016.79,,
Mar 20 2018,7061.27,7042.93,7081.5,7042.6,,
Mar 19 2018,7042.93,7164.14,7164.19,7034.91,,
Mar 16 2018,7164.14,7139.76,7187.27,7131.31,,
Mar 15 2018,7139.76,7132.69,7162.58,7127.08,,
Mar 14 2018,7132.69,7138.78,7176.51,7122.76,,
Mar 13 2018,7138.78,7214.76,7224.13,7125.6,,
Mar 12 2018,7214.76,7224.51,7254.87,7198.18,,
Mar 09 2018,7224.51,7203.24,7225.28,7189.74,,
Mar 08 2018,7203.24,7157.84,7212.14,7145.7,,
Mar 07 2018,7157.84,7146.75,7180.71,7109.56,,
Mar 06 2018,7146.75,7115.98,7197.8,7115.6,,
Mar 05 2018,7115.98,7069.9,7119.21,7062.13,,
Mar 02 2018,7069.9,7175.64,7175.64,7063.42,,
Mar 01 2018,7175.64,7231.91,7231.91,7153.39,,
Feb 28 2018,7231.91,7282.45,7293.36,7231.91,,
Feb 27 2018,7282.45,7289.58,7326.02,7272.87,,
Feb 26 2018,7289.58,7244.41,7312.98,7244.31,,
Feb 23 2018,7244.41,7252.39,7262.05,7220.81,,
Feb 22 2018,7252.39,7281.57,7281.57,7187.76,,
Feb 21 2018,7281.57,7246.77,7291.8,7220.55,,
Feb 20 2018,7246.77,7247.66,7264.78,7202.14,,
Feb 19 2018,7247.66,7294.7,7306.21,7239.98,,
Feb 16 2018,7294.7,7234.81,7307.97,7234.81,,
Feb 15 2018,7234.81,7213.97,7267.96,7206.69,,
Feb 14 2018,7213.97,7168.01,7243.15,7145.73,,
Feb 13 2018,7168.01,7177.06,7202.99,7165.83,,
Feb 12 2018,7177.06,7092.43,7199.93,7092.43,,
Feb 09 2018,7092.43,7170.69,7170.69,7073.03,,
Feb 08 2018,7170.69,7279.42,7279.42,7161.31,,
Feb 07 2018,7279.42,7141.4,7311.5,7141.4,,
Feb 06 2018,7141.4,7334.98,7334.98,7079.41,,
Feb 05 2018,7334.98,7443.43,7443.43,7334.79,,
Feb 02 2018,7443.43,7490.39,7494.76,7432.25,,
Feb 01 2018,7490.39,7533.55,7554.73,7476.51,,
Jan 31 2018,7533.55,7587.98,7599.01,7521.77,,
Jan 30 2018,7587.98,7671.53,7671.67,7587.12,,
Jan 29 2018,7671.53,7665.54,7689.15,7663.93,,
Jan 26 2018,7665.54,7615.84,7667.4,7615.84,,
Jan 25 2018,7615.84,7643.43,7662.35,7608.53,,
Jan 24 2018,7643.43,7731.83,7731.98,7643.43,,
Jan 23 2018,7731.83,7715.44,7745.22,7710.03,,
Jan 22 2018,7715.44,7730.79,7739.35,7703.67,,
Jan 19 2018,7730.79,7700.96,7731.82,7694.66,,
Jan 18 2018,7700.96,7725.43,7739.54,7683.71,,
Jan 17 2018,7725.43,7755.93,7755.93,7711.11,,
Jan 16 2018,7755.93,7769.14,7791.83,7740.55,,
Jan 15 2018,7769.14,7778.64,7783.61,7763.43,,
Jan 12 2018,7778.64,7762.94,7792.56,7752.63,,
Jan 11 2018,7762.94,7748.51,7768.96,7734.64,,
Jan 10 2018,7748.51,7731.02,7756.11,7716.21,,
Jan 09 2018,7731.02,7696.51,7733.12,7696.5,,
Jan 08 2018,7696.51,7724.22,7733.39,7691.77,,
Jan 05 2018,7724.22,7695.88,7727.73,7689.81,,
Jan 04 2018,7695.88,7671.11,7702.51,7671.11,,
Jan 03 2018,7671.11,7648.1,7689.86,7640.53,,
Jan 02 2018,7648.1,7687.77,7691.34,7624.14,,
Dec 29 2017,7687.77,7622.88,7697.62,7620.01,,
Dec 28 2017,7622.88,7620.68,7633.55,7609.77,,
Dec 27 2017,7620.68,7592.66,7632.71,7586.42,,
Dec 22 2017,7592.66,7603.98,7614.4,7585.47,,
Dec 21 2017,7603.98,7525.22,7609.69,7517.88,,
Dec 20 2017,7525.22,7544.09,7550.6,7511.45,,
Dec 19 2017,7544.09,7537.01,7563.49,7534.08,,
Dec 18 2017,7537.01,7490.57,7544.26,7490.57,,
Dec 15 2017,7490.57,7448.12,7490.57,7433.78,,
Dec 14 2017,7448.12,7496.51,7496.7,7448.12,,
Dec 13 2017,7496.51,7500.41,7510.77,7492.58,,
Dec 12 2017,7500.41,7453.48,7501.52,7448.31,,
Dec 11 2017,7453.48,7393.96,7458.4,7393.58,,
Dec 08 2017,7393.96,7320.75,7412.21,7314.23,,
Dec 07 2017,7320.75,7348.03,7371.73,7314.6,,
Dec 06 2017,7348.03,7327.5,7369.71,7289.36,,
Dec 05 2017,7327.5,7338.97,7373.9,7326.57,,
Dec 04 2017,7338.97,7300.49,7369.65,7300.49,,
Dec 01 2017,7300.49,7326.67,7355.43,7288.73,,
Nov 30 2017,7326.67,7393.56,7416.26,7326.67,,
Nov 29 2017,7393.56,7460.65,7460.65,7386.67,,
Nov 28 2017,7460.65,7383.9,7469.61,7373.95,,
Nov 27 2017,7383.9,7409.64,7438.39,7383.9,,
Nov 24 2017,7409.64,7417.24,7425.19,7389.54,,
Nov 23 2017,7417.24,7419.02,7422.73,7373.31,,
Nov 22 2017,7419.02,7411.34,7460.91,7410.38,,
Nov 21 2017,7411.34,7389.46,7422.18,7367.86,,
Nov 20 2017,7389.46,7380.68,7397.39,7350.37,,
Nov 17 2017,7380.68,7386.94,7406.53,7356.16,,
Nov 16 2017,7386.94,7372.61,7393.28,7368.14,,
Nov 15 2017,7372.61,7414.42,7415.09,7357.06,,
Nov 14 2017,7414.42,7415.18,7436.57,7396.92,,
Nov 13 2017,7415.18,7432.99,7469.3,7402.95,,
Nov 10 2017,7432.99,7484.1,7500.29,7421.73,,
Nov 09 2017,7484.1,7529.72,7532.2,7476.89,,
Nov 08 2017,7529.72,7513.11,7534.49,7504.77,,
Nov 07 2017,7513.11,7562.28,7582.85,7507.83,,
Nov 06 2017,7562.28,7560.35,7572.9,7544.2,,
Nov 03 2017,7560.35,7555.32,7580.95,7541.91,,
Nov 02 2017,7555.32,7487.96,7562.26,7478.88,,
Nov 01 2017,7487.96,7493.08,7532.36,7487.96,,
Oct 31 2017,7493.08,7487.81,7516.85,7483.97,,
Oct 30 2017,7487.81,7505.03,7507.02,7478.41,,
Oct 27 2017,7505.03,7486.5,7520.76,7485.24,,
Oct 26 2017,7486.5,7447.21,7488.26,7440.11,,
Oct 25 2017,7447.21,7526.54,7528.46,7437.42,,
Oct 24 2017,7526.54,7524.45,7535.22,7508.5,,
Oct 23 2017,7524.45,7523.23,7542.0,7511.77,,
Oct 20 2017,7523.23,7523.04,7560.04,7517.07,,
Oct 19 2017,7523.04,7542.87,7542.87,7485.42,,
Oct 18 2017,7542.87,7516.17,7555.24,7516.17,,
Oct 17 2017,7516.17,7526.97,7550.44,7506.31,,
Oct 16 2017,7526.97,7535.44,7557.0,7526.73,,
Oct 13 2017,7535.44,7556.24,7556.24,7521.09,,
Oct 12 2017,7556.24,7533.81,7565.11,7526.33,,
Oct 11 2017,7533.81,7538.27,7550.17,7519.6,,
Oct 10 2017,7538.27,7507.89,7543.88,7504.56,,
Oct 09 2017,7507.89,7522.87,7523.65,7493.68,,
Oct 06 2017,7522.87,7507.99,7527.72,7507.99,,
